id,설명,이름,설명,"사는 공간
1:Lake(민물)
2:Sea(바다)","등급
1:Normal(일반)
2:Rare(고급)
3:Epic(희귀)
4:Legendary(전설)","등장 계절
1:Spring(봄)
2:Summer(여름)
4:Autumn(가을)
8:Winter(겨울)",특수 조건,군집 알고리즘 사용 여부,최소 길이(cm),최대 길이(cm),길이 단위(cm),판매 시 금액(원),스프라이트 ,애니메이터 컨트롤러
10010,농어,FishNameSeaBass,FishDescSeaBass,2,3,2,FALSE,FALSE,50,90,0.1,4,Assets/9.GitIgnore/2D/Fish/Sea/SeaBass/Sprites/SPR_SeaFish_SeaBass_001.png,
10011,민물장어,FishNameEel,FishDescEel,1,2,6,FALSE,FALSE,60,100,0.1,2,Assets/9.GitIgnore/2D/Fish/Lake/Eel/Sprites/SPR_LakeFish_Eel_001.png,
10012,고등어,FishNameMackerel,FishDescMackerel,2,1,4,FALSE,TRUE,30,40,0.1,1,Assets/9.GitIgnore/2D/Fish/Sea/Mackerel/Sprites/SPR_SeaFish_Mackerel_001.png,
10013,대하,FishNameKingPrawn,FishDescKingPrawn,2,3,4,FALSE,TRUE,15,30,0.1,4,Assets/9.GitIgnore/2D/Fish/Sea/KingPrawn/Sprites/SPR_SeaFish_KingPrawn_001.png,
10014,전어,FishNameGizzardShad,FishDescGizzardShad,2,2,4,FALSE,TRUE,15,30,0.1,2,Assets/9.GitIgnore/2D/Fish/Sea/GizzardShad/Sprites/SPR_SeaFish_GizzardShad_001.png,
10015,방어,FishNameYellowtail,FishDescYellowtail,2,3,8,FALSE,TRUE,50,150,0.1,4,Assets/9.GitIgnore/2D/Fish/Sea/Yellowtail/Sprites/SPR_SeaFish_Yellowtail_001.png,
10016,아귀,FishNameMonkfish,FishDescMonkfish,2,2,8,FALSE,FALSE,30,100,0.1,2,Assets/9.GitIgnore/2D/Fish/Sea/Monkfish/Sprites/SPR_SeaFish_Monkfish_001.png,
10017,송어,FishNameTrout,FishDescTrout,1,1,8,FALSE,TRUE,25,60,0.1,1,Assets/9.GitIgnore/2D/Fish/Lake/Trout/Sprites/SPR_LakeFish_Trout_001.png,
10018,황금쏘가리,FishNameGoldenMandarinFish,FishDescGoldenMandarinFish,1,4,15,TRUE,FALSE,20,55,0.1,1000,Assets/9.GitIgnore/2D/Fish/Lake/GoldenMandarinFish/Sprites/SPR_LakeFish_GoldenMandarinFish_001.png,
10019,산갈치,FishNameOarfish,FishDescOarfish,2,4,1,TRUE,FALSE,300,1500,1,150,Assets/9.GitIgnore/2D/Fish/Sea/Oarfish/Sprites/SPR_SeaFish_Oarfish_001.png,
10020,백상아리,FishNameGreatWhiteShark,FishDescGreatWhiteShark,2,4,2,TRUE,FALSE,300,500,0.1,150,Assets/9.GitIgnore/2D/Fish/Sea/GreatWhiteShark/Sprites/SPR_SeaFish_GreatWhiteShark_001.png,
10021,향유고래,FishNameSpermWhale,FishDescSpermWhale,2,4,15,TRUE,FALSE,150,200,0.1,300,Assets/9.GitIgnore/2D/Fish/Sea/SpermWhale/Sprites/SPR_SeaFish_SpermWhale_001.png,
10022,실러캔스,FishNameCoelacanth,FishDescCoelacanth,2,4,15,TRUE,FALSE,150,200,0.1,300,Assets/9.GitIgnore/2D/Fish/Sea/Coelacanth/Sprites/SPR_SeaFish_Coelacanth_001.png,
10023,붕장어,FishNameSeaEel,FishDescSeaEel,2,2,6,FALSE,FALSE,100,200,0.1,2,Assets/9.GitIgnore/2D/Fish/Sea/SeaEel/Sprites/SPR_SeaFish_SeaEel_001.png,
10024,쏘가리,FishNameMandarin,FishDescMandarin,1,1,15,FALSE,FALSE,10,60,0.1,1,Assets/9.GitIgnore/2D/Fish/Lake/Mandarin/Sprites/SPR_LakeFish_Mandarin_001.png,
10025,피라루크,FishNamePiraruku,FishDescPiraruku,1,4,15,TRUE,FALSE,200,500,1,400,Assets/9.GitIgnore/2D/Fish/Lake/Piraruku/Sprites/SPR_LakeFish_Piraruku_001.png,
10026,빙어,FishNameIceFish,FishDescIceFish,1,1,8,FALSE,TRUE,5,15,0.1,1,Assets/9.GitIgnore/2D/Fish/Lake/IceFish/Sprites/SPR_LakeFish_IceFish_001.png,
10027,네온테트라,FishNameNeonTetra,FishDescNeonTetra,1,3,15,FALSE,TRUE,1,4,0.1,4,Assets/9.GitIgnore/2D/Fish/Lake/NeonTetra/Sprites/SPR_LakeFish_NeonTetra_001.png,
10028,멸치,FishNameAnchovy,FishDescAnchovy,2,1,15,FALSE,TRUE,1.5,10,0.1,1,Assets/9.GitIgnore/2D/Fish/Sea/Anchovy/Sprites/SPR_SeaFish_Anchovy_001.png,
10029,정어리,FishNameSardine,FishDescSardine,2,2,2,FALSE,TRUE,15,25,0.1,2,Assets/9.GitIgnore/2D/Fish/Sea/Sardine/Sprites/SPR_SeaFish_Sardine_001.png,
10030,블롭피쉬,FishNameBlobfish,FishDescBlobFish,2,4,15,FALSE,FALSE,20,30,0.1,50,Assets/9.GitIgnore/2D/Fish/Sea/Blobfish/Sprites/SPR_SeaFish_Blobfish_001.png,
